Date,Open,High,Low,Close,Adj Close,Volume
2019-03-04,21.520000,21.610001,21.320000,21.389999,21.389999,103900
2019-03-05,21.410000,21.650000,21.280001,21.549999,21.549999,110900
2019-03-06,21.480000,21.480000,20.660000,20.780001,20.780001,94700
2019-03-07,20.809999,20.809999,20.340000,20.570000,20.570000,95800
2019-03-08,20.410000,21.100000,20.410000,20.990000,20.990000,138000
2019-03-11,21.030001,21.100000,20.709999,20.889999,20.889999,74500
2019-03-12,20.790001,20.910000,20.340000,20.370001,20.370001,101800
2019-03-13,20.299999,20.330000,19.990000,20.100000,20.100000,103600
2019-03-14,20.139999,20.180000,19.900000,19.950001,19.950001,73600
2019-03-15,19.950001,20.059999,19.650000,19.690001,19.690001,252800
2019-03-18,19.760000,20.059999,19.760000,20.010000,20.010000,165900
2019-03-19,20.010000,20.330000,19.990000,20.090000,20.090000,79500
2019-03-20,20.049999,20.049999,19.389999,19.430000,19.430000,127900
2019-03-21,19.430000,19.760000,19.379999,19.590000,19.590000,98000
2019-03-22,19.510000,19.530001,18.799999,18.830000,18.830000,131600
2019-03-25,18.840000,19.000000,18.559999,18.910000,18.910000,117000
2019-03-26,18.990000,19.190001,18.940001,19.139999,19.139999,39700
2019-03-27,19.040001,19.230000,18.879999,19.110001,19.110001,74900
2019-03-28,19.180000,19.290001,19.040001,19.219999,19.219999,57100
2019-03-29,19.180000,19.330000,18.969999,19.250000,19.250000,86700
2019-04-01,19.250000,19.420000,19.139999,19.190001,19.190001,48600
